"category","topic","name","url","media_kind","protocol","format","bitrate","is_live","https","language","country","homepage","source_kind","license_note","notes","confidence","favicon_index","access"
"Live TV","General","Calabria TV (Calabria TV)","https://64b16f23efbee.streamlock.net/calabriatv/calabriatv/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","IT","https://calabriatv.it/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=","medium","1009",""
"Live TV","General","CaliTV (Cali TV)","https://5ab772334c39c.streamlock.net/live-calitv/calitv1/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","CO","https://www.canalcalitv.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=540p","medium","1010",""
"Live TV","General","CAM 10 TV (CAM 10 TV)","https://stream.it-innov.com/cam10tv/index.m3u8","VIDEO","HLS","m3u8","","true","true","","CM","https://cam10tv.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1011",""
"Live TV","General","Can Tho TV (Cần Thơ TV1)","https://live.canthotv.vn/live/tv/chunklist.m3u8","VIDEO","HLS","m3u8","","true","true","","VN","https://canthotv.vn/can-tho-1/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=1080p","medium","",""
"Live TV","General","Canaf54 TV (Canaf54 TV)","https://5caf24a595d94.streamlock.net:1937/pvyugfkzkc/pvyugfkzkc/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","UK","https://canaf54.tv/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=","medium","1012",""
"Live TV","General","Canal 1 (Canal 1)","https://vid.canal1cr.com:3424/multi_live/play_720.m3u8","VIDEO","HLS","m3u8","","true","true","","CR","https://canal1cr.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1013",""
"Live TV","General","Canal 1 Mar Menor Torre Pacheco (Canal 1 Mar Menor-Torre Pacheco)","https://directo.tuwebtv.es/canal1.m3u8","VIDEO","HLS","m3u8","","true","true","","ES","https://www.tuwebtv.es/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general|news; quality=1080p","medium","1014",""
"Live TV","General","Canal 1 Nuble (Canal 1 Nuble)","https://tls-cl.cdnz.cl/canal21tv/live/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","CL","https://www.canal1.cl/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=","medium","1015",""
"Live TV","General","Canal 10 (Canal 10)","https://www.canal10.com.ni/envivo/","VIDEO","ICECAST","","","true","true","","NI","http://www.canal10.com.ni/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=360p","medium","1016",""
"Live TV","General","Canal 11 (Canal 11)","https://redirector.rudo.video/hls-video/c54ac2799874375c81c1672abb700870537c5223/canal11hn/canal11hn.smil/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","HN","https://canal11.hn/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=1080p","medium","1017",""
"Live TV","General","Canal 11 TuTV (Canal 11 TuTV)","https://stream.giostreaming.app/canal11/canal11.m3u8","VIDEO","HLS","m3u8","","true","true","","SV","http://www.canal11.com.sv/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=349p","medium","1018",""
"Live TV","General","Canal 2 Alpavision Neiva (Canal 2 Alpavisión Neiva)","https://stmv1.voxtvhd.com.br/alpavision/alpavision/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","CO","https://alpavision.com.co/canal-2-senal-en-vivo/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1019",""
"Live TV","General","Canal 21 Huancayo (Canal 21 Huancayo)","https://play.agenciastreaming.com:8081/tvwanka/tracks-v1/index.fmp4.m3u8","VIDEO","HLS","m3u8","","true","true","","PE","https://canal21huancayo.com","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1020",""
"Live TV","General","Canal 21 Tachira (Canal 21 Táchira)","https://stmv2.voxtvhd.com.br/canal21/canal21/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","VE","https://canal21tachira.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=360p","medium","1021",""
"Live TV","General","Canal 25 Ayacucho (Canal 25 Ayacucho)","https://live-evg10.tv360.bitel.com.pe/bitel/canal25ayacucho/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","PE","","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","",""
"Live TV","General","Canal 3 Impresionante (Canal 3 Impresionante)","https://cloud2.streaminglivehd.com:2020/hls/8036/8036.m3u8","VIDEO","HLS","m3u8","","true","true","","SV","https://canal3impresionante.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=480p","medium","1022",""
"Live TV","General","Canal 5 El Lider (Canal 5 El Líder)","https://mdstrm.com/live-stream-playlist/6287fda8ea3b8b397d1ca2ed.m3u8","VIDEO","HLS","m3u8","","true","true","","HN","https://www.televicentro.hn/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1023",""
"Live TV","General","Canal 5 Puerto Montt (Canal 5 Puerto Montt)","https://5ff3d9babae13.streamlock.net/aufymdjpjf/aufymdjpjf/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","CL","https://canal5.cl/wp/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=","medium","1024",""
"Live TV","General","Canal 51 (Canal 51)","https://live.cn51hn.com/live/cn51.m3u8","VIDEO","HLS","m3u8","","true","true","","HN","https://cn51hn.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=","medium","1025",""
"Live TV","General","Canal 55 Telemorisco TV (Canal 55 Telemorisco TV)","http://canal.mediaserver.com.co/live/telemorisco.m3u8","VIDEO","HLS","m3u8","","true","false","","CO","https://55telemoriscotv.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1026",""
"Live TV","General","Canal 6 Panadish (Canal 6 Panadish)","https://stream.meteorito.cloud:1947/canal6/smil:canal6.smil/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","GT","https://www.panadish.com/canal6.html","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1027",""
"Live TV","General","Canal 7 TeleValencia (7 TeleValencia)","https://play.cdn.enetres.net/9E9557EFCEBB43A89CEC8FBD3C500247022/028/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","ES","https://7televalencia.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=576p","medium","1028",""
"Live TV","General","Canal 8 (Canal 8)","https://mdstrm.com/live-stream-playlist/5a7b1e63a8da282c34d65445.m3u8","VIDEO","HLS","m3u8","","true","true","","CR","https://www.telediario.cr/television","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1029",""
"Live TV","General","Canal 8 C&C Producciones (Canal 8 C&C Producciones)","https://video.hostingcaaguazu.com:19360/canal8cvs/canal8cvs.m3u8","VIDEO","HLS","m3u8","","true","true","","PY","","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=","medium","",""
"Live TV","General","Canal 8 Catacaos (Canal 8 Catacaos)","https://live.obslivestream.com/canal8/index.m3u8","VIDEO","HLS","m3u8","","true","true","","PE","https://www.canal8catacaos.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","",""
"Live TV","General","Canal 8 TV+ (Canal 8 TV+)","https://movil.ejeserver.com/live/canal8tv.m3u8","VIDEO","HLS","m3u8","","true","true","","CO","https://canalocho.com.co/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1030",""
"Live TV","General","Canal Catorce (Canal Catorce)","https://stream.haislin.com/14tv/index.m3u8","VIDEO","HLS","m3u8","","true","true","","DO","http://14tv.live/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=1080p","medium","1031",""
"Live TV","General","Canal CHD (Canal CHD)","https://vs20.live.opencaster.com/canalchd2025_8d99626c/index.m3u8","VIDEO","HLS","m3u8","","true","true","","CO","https://canalchd.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=","medium","1032",""
"Live TV","General","Canal Coin TV (Canal Coín)","https://canalcoin.garjim.es/hls/directo.m3u8","VIDEO","HLS","m3u8","","true","true","","ES","https://canalcoin.com/tv-directo/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=1080p","medium","1033",""
"Live TV","General","Canal Dos (Canal Dos Yopal)","http://131.221.41.94/hls/canal2.m3u8","VIDEO","HLS","m3u8","","true","false","","CO","https://www.micanal2.tv/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1034",""
"Live TV","General","Canal DTV (Canal DTV)","https://s.emisoras.tv:8081/dtv/index.m3u8","VIDEO","HLS","m3u8","","true","true","","DO","https://dominiodtv.blogspot.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1035",""
"Live TV","General","Canal Habana (Canal Habana)","https://tv.picta.cu/infantil/infantil_0.m3u8","VIDEO","HLS","m3u8","","true","true","","CU","https://www.canalhabana.icrt.cu/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=480p","medium","1036","geo"
"Live TV","General","Canal Local (Canal Local)","https://v2.tustreaming.cl/canallocalcl/index.m3u8","VIDEO","HLS","m3u8","","true","true","","CL","https://www.canallocal.cl/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1037",""
"Live TV","General","CANAL M Television (CANAL M Television)","https://live-evg10.tv360.bitel.com.pe/bitel/anqaratv/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","PE","","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","",""
"Live TV","General","Canal Malaga RTV (Canal Málaga RTV)","https://canalmalaga-tv-live.flumotion.com/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","ES","","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","",""
"Live TV","General","Canal Mas Television (Canal Más Televisión)","https://movil.ejeserver.com/live/teledoradahd.m3u8","VIDEO","HLS","m3u8","","true","true","","CO","http://www.canalmastelevision.com.co/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","",""
"Live TV","General","Canal Mas TV (Canal Mas TV)","https://live-evg11.tv360.bitel.com.pe/bitel/mastvSRT/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","PE","","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","",""
"Live TV","General","Canal Multivision (Canal Multivision)","https://live20.bozztv.com/akamaissh101/ssh101/canalmulti24/playlist.m3u8","VIDEO","HLS","m3u8","","true","true","","DO","https://canalmultivision.com/","COMMUNITY","iptv-org public index, publicly listed free stream (verify broadcaster-official before promote)","iptv-org; categories=general; quality=720p","medium","1038",""
